City,Local time,Description,Temperature,UTC time
Montevideo,Sun 2:24 am,Light rain. Low clouds. Cool.,48 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Banjul,Sun 5:24 am,Passing clouds. Mild.,75 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Montréal,Sun 1:24 am,Passing clouds. Mild.,70 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Barcelona,Sun 7:24 am,Passing clouds. Mild.,70 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Moroni,Sun 8:24 am,Passing clouds. Mild.,73 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Basse-Terre,Sun 1:24 am,Passing clouds. Warm.,81 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Moscow,Sun 8:24 am,Overcast. Cool.,58 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Beijing,Sun 1:24 pm,Mild.,70 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Mumbai,Sun 10:54 am,Scattered clouds. Warm.,88 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Beirut,Sun 8:24 am,Scattered clouds. Warm.,83 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Muscat,Sun 9:24 am,Warm.,88 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Belém,Sun 2:24 am,Clear. Warm.,77 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
N'Djamena,Sun 6:24 am,Thunderstorms. Passing clouds. Warm.,77 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Belgrade,Sun 7:24 am,Sunny. Mild.,64 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Nairobi,Sun 8:24 am,Partly sunny. Cool.,57 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Belmopan,Sat 11:24 pm,Passing clouds. Warm.,83 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Nassau,Sun 1:24 am,Passing clouds. Warm.,79 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Belushya Guba,Sun 8:24 am,Fog. Chilly.,40 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
New Delhi,Sun 10:54 am,Haze. Warm.,88 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Bengaluru,Sun 10:54 am,Broken clouds. Warm.,77 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
New Orleans,Sun 12:24 am,Clear. Warm.,83 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Berlin,Sun 7:24 am,Partly sunny. Cool.,54 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
New York,Sun 1:24 am,Clear. Warm.,77 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Bern,Sun 7:24 am,Sunny. Cool.,55 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Ngerulmud,Sun 2:24 pm,Partly sunny. Warm.,86 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Bishkek,Sun 11:24 am,Passing clouds. Pleasantly warm.,84 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Niamey,Sun 6:24 am,Clear. Mild.,75 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Bogota,Sun 12:24 am,Passing clouds. Cool.,52 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Nicosia,Sun 8:24 am,Sunny. Mild.,75 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Boston,Sun 1:24 am,Clear. Warm.,77 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Norilsk,Sun 12:24 pm,Scattered clouds. Refreshingly cool.,60 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Brasilia,Sun 2:24 am,Thundershowers. Passing clouds. Mild.,64 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Novosibirsk,Sun 12:24 pm,Partly sunny. Mild.,75 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Bratislava,Sun 7:24 am,Sunny. Mild.,64 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Nuku'alofa,Sun 6:24 pm,Overcast. Mild.,72 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Brazzaville,Sun 6:24 am,Passing clouds. Mild.,72 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Nusantara,Sun 1:24 pm,Scattered clouds. Warm.,86 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Bridgetown,Sun 1:24 am,Scattered showers. Partly cloudy. Warm.,81 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Nuuk,Sun 4:24 am,Clear. Quite cool.,43 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Brisbane,Sun 3:24 pm,Cool.,70 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Oklahoma City,Sun 12:24 am,Mostly cloudy. Warm.,83 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Brussels,Sun 7:24 am,Passing clouds. Cool.,55 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Omsk,Sun 11:24 am,Passing clouds. Mild.,75 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Bucharest,Sun 8:24 am,Passing clouds. Mild.,63 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Oral,Sun 10:24 am,Scattered clouds. Mild.,72 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Budapest,Sun 7:24 am,Sunny. Mild.,64 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Oslo,Sun 7:24 am,Passing clouds. Cool.,52 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Buenos Aires,Sun 2:24 am,Passing clouds. Quite cool.,45 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Ottawa,Sun 1:24 am,Passing clouds. Mild.,63 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Cairns,Sun 3:24 pm,Broken clouds. Warm.,79 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Palikir,Sun 4:24 pm,Scattered clouds. Warm.,88 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Cairo,Sun 8:24 am,Sunny. Mild.,75 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Panama,Sun 12:24 am,Overcast. Warm.,79 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Calgary,Sat 11:24 pm,Passing clouds. Cool.,54 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Papeete,Sat 7:24 pm,Clear. Warm.,77 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Canberra,Sun 3:24 pm,Overcast. Mild.,63 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Paris,Sun 7:24 am,Sunny. Cool.,55 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Cancún,Sun 12:24 am,Passing clouds. Warm.,81 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Perth,Sun 1:24 pm,Broken clouds. Mild.,68 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Cape Town,Sun 7:24 am,Clear. Cool.,48 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Petropavlovsk-Kamchatsky,Sun 5:24 pm,Partly sunny. Cool.,54 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Caracas,Sun 1:24 am,Passing clouds. Warm.,79 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Pevek,Sun 5:24 pm,Passing clouds. Quite cool.,45 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Cardiff,Sun 6:24 am,Clear. Cool.,50 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Philadelphia,Sun 1:24 am,Passing clouds. Warm.,77 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Casablanca,Sun 6:24 am,Mild.,68 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Phoenix,Sat 10:24 pm,Clear. Extremely hot.,101 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Cayenne,Sun 2:24 am,Partly cloudy. Warm.,77 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Pituffik,Sun 2:24 am,Mostly cloudy. Chilly.,39 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Chennai,Sun 10:54 am,Broken clouds. Hot.,91 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Podgorica,Sun 7:24 am,Sunny. Mild.,66 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Chibougamau,Sun 1:24 am,Light rain. Mostly cloudy. Cool.,55 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Pond Inlet,Sun 1:24 am,Scattered clouds. Chilly.,36 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Chicago,Sun 12:24 am,Strong thunderstorms. Fog. Mild.,69 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Ponta Delgada,Sun 5:24 am,Passing clouds. Mild.,64 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Chita,Sun 2:24 pm,Clear. Mild.,72 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Pontianak,Sun 12:24 pm,Overcast. Warm.,84 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Chișinău,Sun 8:24 am,Sunny. Cool.,61 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Port-aux-Francais,Sun 10:24 am,Quite cool.,42 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Chongqing,Sun 1:24 pm,Sunny. Warm.,82 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Port Louis,Sun 9:24 am,Overcast. Mild.,70 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Conakry,Sun 5:24 am,Thunderstorms. Passing clouds. Warm.,82 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Port of Spain,Sun 1:24 am,Light rain. Overcast. Warm.,79 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Copenhagen,Sun 7:24 am,Scattered clouds. Cool.,54 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Port Vila,Sun 4:24 pm,Rain. Low clouds. Mild.,71 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Coral Harbour,Sun 12:24 am,Passing clouds. Chilly.,37 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Porto Novo,Sun 6:24 am,Passing clouds. Warm.,81 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Córdoba,Sun 2:24 am,Overcast. Quite cool.,44 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Prague,Sun 7:24 am,Scattered clouds. Cool.,54 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Dallas,Sun 12:24 am,Passing clouds. Warm.,84 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Pretoria,Sun 7:24 am,Cool.,48 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Danmarkshavn,Sun 5:24 am,Sunny. Chilly.,39 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Punta Arenas,Sun 2:24 am,Passing clouds. Cool.,45 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Dar es Salaam,Sun 8:24 am,Fog. Mild.,72 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Pyongyang,Sun 2:24 pm,Overcast. Warm.,80 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Darwin,Sun 2:54 pm,Sunny. Hot.,90 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Quito,Sun 12:24 am,Passing clouds. Cool.,50 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Denpasar,Sun 1:24 pm,Partly sunny. Warm.,86 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Rabat,Sun 6:24 am,Partly sunny. Mild.,68 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Denver,Sat 11:24 pm,Partly cloudy. Refreshingly cool.,59 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Rarotonga,Sat 7:24 pm,Partly sunny. Mild.,70 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Detroit,Sun 1:24 am,Clear. Mild.,76 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Regina,Sat 11:24 pm,Passing clouds. Cool.,50 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Dhaka,Sun 11:24 am,Low clouds. Hot.,88 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Resolute Bay,Sun 12:24 am,Low clouds. Chilly.,34 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Dnipro,Sun 8:24 am,Partly sunny. Cool.,58 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Reykjavik,Sun 5:24 am,Sunny. Cool.,46 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Dodoma,Sun 8:24 am,Passing clouds. Cool.,61 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Riga,Sun 8:24 am,Low clouds. Cool.,52 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Doha,Sun 8:24 am,Passing clouds. Extremely hot.,99 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Rio Branco,Sun 12:24 am,Clear. Mild.,75 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Douglas,Sun 6:24 am,Passing clouds. Cool.,52 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Rio de Janeiro,Sun 2:24 am,Overcast. Mild.,73 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Dubai,Sun 9:24 am,Clear. Extremely hot.,93 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Riyadh,Sun 8:24 am,Sunny. Extremely hot.,99 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Dublin,Sun 6:24 am,Passing clouds. Cool.,48 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Rome,Sun 7:24 am,Sunny. Mild.,68 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Dushanbe,Sun 10:24 am,Clear. Pleasantly warm.,84 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Rovaniemi,Sun 8:24 am,Partly sunny. Cool.,54 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Easter Island,Sat 11:24 pm,Partly cloudy. Mild.,66 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Saint-Denis,Sun 9:24 am,Sunny. Warm.,79 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Edinburgh,Sun 6:24 am,Passing clouds. Cool.,50 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Salt Lake City,Sat 11:24 pm,Clear. Mild.,71 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Edmonton,Sat 11:24 pm,Passing clouds. Cool.,52 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Samara,Sun 9:24 am,Sunny. Mild.,70 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
El Aaiún,Sun 6:24 am,Passing clouds. Mild.,68 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
San Francisco,Sat 10:24 pm,Passing clouds. Cool.,62 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Eucla,Sun 2:09 pm,Cool.,60 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
San Jose,Sat 11:24 pm,Partly cloudy. Mild.,73 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Eureka,Sun 12:24 am,Scattered clouds. Chilly.,39 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
San Juan,Sun 1:24 am,Passing clouds. Warm.,81 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Fairbanks,Sat 9:24 pm,Scattered clouds. Pleasantly warm.,78 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
San Salvador,Sat 11:24 pm,Clear. Warm.,81 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Fortaleza,Sun 2:24 am,Passing clouds. Warm.,79 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Santiago,Sun 1:24 am,Clear. Quite cool.,43 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Frankfurt,Sun 7:24 am,Passing clouds. Cool.,55 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Santo Domingo,Sun 1:24 am,Passing clouds. Warm.,82 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Freetown,Sun 5:24 am,Thunderstorms. Passing clouds. Warm.,79 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
São Paulo,Sun 2:24 am,Mostly cloudy. Mild.,64 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Funafuti,Sun 5:24 pm,Partly sunny. Warm.,81 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Sarajevo,Sun 7:24 am,Sunny. Cool.,54 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Gaborone,Sun 7:24 am,Sunny. Cool.,48 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Seattle,Sat 10:24 pm,Clear. Mild.,73 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Georgetown,Sun 1:24 am,Partly sunny. Warm.,84 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Seoul,Sun 2:24 pm,Passing clouds. Warm.,82 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Gibraltar,Sun 7:24 am,Passing clouds. Mild.,72 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Shanghai,Sun 1:24 pm,Partly sunny. Mild.,73 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Guatemala City,Sat 11:24 pm,Passing clouds. Mild.,68 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Singapore,Sun 1:24 pm,Partly sunny. Hot.,91 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Hagåtña,Sun 3:24 pm,Sunny. Hot.,89 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Skopje,Sun 7:24 am,Sunny. Cool.,59 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Halifax,Sun 2:24 am,Fog. Cool.,50 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Sofia,Sun 8:24 am,Passing clouds. Cool.,52 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Hamilton,Sun 2:24 am,Partly cloudy. Warm.,77 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Sri Jayawardenepura Kotte,Sun 10:54 am,Scattered clouds. Warm.,82 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Hanoi,Sun 12:24 pm,Passing clouds. Extremely hot.,93 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
St. John's,Sun 2:54 am,Mostly cloudy. Quite cool.,41 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Happy Valley-Goose Bay,Sun 2:24 am,Light rain. Passing clouds. Cool.,46 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Stanley,Sun 2:24 am,Partly cloudy. Quite cool.,41 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Harare,Sun 7:24 am,Clear. Cool.,45 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Stockholm,Sun 7:24 am,Light rain. Cloudy. Cool.,52 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Havana,Sun 1:24 am,Passing clouds. Mild.,75 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Suva,Sun 5:24 pm,Sprinkles. Broken clouds. Mild.,72 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Helsinki,Sun 8:24 am,Partly sunny. Cool.,52 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Sydney,Sun 3:24 pm,Scattered showers. Broken clouds. Mild.,70 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Hermosillo,Sat 10:24 pm,Clear. Hot.,91 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Taipei,Sun 1:24 pm,Light rain. Broken clouds. Warm.,81 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Hobart,Sun 3:24 pm,Scattered clouds. Refreshingly cool.,55 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Tallinn,Sun 8:24 am,Partly sunny. Cool.,50 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Hong Kong,Sun 1:24 pm,Scattered clouds. Warm.,88 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Tarawa,Sun 5:24 pm,Scattered clouds. Warm.,87 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Honiara,Sun 4:24 pm,Partly sunny. Hot.,90 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Tashkent,Sun 10:24 am,Passing clouds. Mild.,72 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Honolulu,Sat 7:24 pm,Passing clouds. Warm.,78 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Tbilisi,Sun 9:24 am,Partly sunny. Mild.,63 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Houston,Sun 12:24 am,Passing clouds. Warm.,82 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Tegucigalpa,Sat 11:24 pm,Passing clouds. Mild.,73 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Hovd,Sun 12:24 pm,Passing clouds. Mild.,71 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Tehran,Sun 8:54 am,Passing clouds. Pleasantly warm.,84 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Indianapolis,Sun 1:24 am,Passing clouds. Mild.,74 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Thimphu,Sun 11:24 am,Quite cool.,42 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Inuvik,Sat 11:24 pm,Partly sunny. Refreshingly cool.,59 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Tiksi,Sun 2:24 pm,Overcast. Chilly.,40 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Irkutsk,Sun 1:24 pm,Overcast. Cool.,62 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Tirana,Sun 7:24 am,Sunny. Mild.,64 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Islamabad,Sun 10:24 am,Sunny. Warm.,82 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Tokyo,Sun 2:24 pm,Partly sunny. Warm.,79 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Istanbul,Sun 8:24 am,Passing clouds. Mild.,66 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Toronto,Sun 1:24 am,Passing clouds. Mild.,73 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Ittoqqortoormiit,Sun 4:24 am,Partly sunny. Chilly.,35 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Tórshavn,Sun 6:24 am,Clear. Cool.,46 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Izhevsk,Sun 9:24 am,Passing clouds. Mild.,65 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
Tromsø,Sun 7:24 am,Partly sunny. Cool.,46 °F,"UTC (GMT/Zulu)-time: Sunday, June 14, 2026 at 05:24:41"
